geoid,NAME,state,county,tract,households_total,median_income,hh_broadband_any,hh_no_internet,pct_broadband_any,pct_no_internet,pct_households_with_computer,pct_households_with_broadband_DP
36005011702,Census Tract 117.02; Bronx County; New York,36,5,11702,0,,0,0,,,-666666666.0,0
36005011800,Census Tract 118; Bronx County; New York,36,5,11800,1517,93319.0,1418,56,93.47396176664469,3.691496374423204,0.6,1517
36005011900,Census Tract 119; Bronx County; New York,36,5,11900,1875,44122.0,1684,101,89.81333333333333,5.386666666666667,0.9,1875
36005012101,Census Tract 121.01; Bronx County; New York,36,5,12101,1057,34464.0,871,186,82.40302743614002,17.596972563859982,0.2,1057
36005012102,Census Tract 121.02; Bronx County; New York,36,5,12102,572,28200.0,476,87,83.21678321678321,15.209790209790212,5.5,572
36005012300,Census Tract 123; Bronx County; New York,36,5,12300,1772,36435.0,1429,321,80.64334085778782,18.115124153498872,0.4,1772
36005012500,Census Tract 125; Bronx County; New York,36,5,12500,1449,55772.0,1400,49,96.61835748792271,3.3816425120772946,6.3,1449
36005012701,Census Tract 127.01; Bronx County; New York,36,5,12701,745,34688.0,654,91,87.78523489932886,12.21476510067114,2.3,745
36005012901,Census Tract 129.01; Bronx County; New York,36,5,12901,1744,39409.0,1321,216,75.7454128440367,12.385321100917432,6.6,1744
36005013000,Census Tract 130; Bronx County; New York,36,5,13000,472,59595.0,400,56,84.7457627118644,11.864406779661017,0.0,472
36005013100,Census Tract 131; Bronx County; New York,36,5,13100,2225,19760.0,1932,216,86.8314606741573,9.707865168539326,0.9,2225
36005013200,Census Tract 132; Bronx County; New York,36,5,13200,2605,107563.0,2383,156,91.47792706333973,5.9884836852207295,8.0,2605
36005013300,Census Tract 133; Bronx County; New York,36,5,13300,2269,28560.0,1636,382,72.10224768620537,16.835610401057735,2.7,2269
36005013500,Census Tract 135; Bronx County; New York,36,5,13500,1534,26125.0,1154,254,75.22816166883963,16.558018252933508,0.0,1534
36005013800,Census Tract 138; Bronx County; New York,36,5,13800,1255,92567.0,1176,36,93.70517928286853,2.8685258964143427,3.3,1255
36005014100,Census Tract 141; Bronx County; New York,36,5,14100,3034,38816.0,2804,121,92.41924851680949,3.988134475939354,5.8,3034
36005014300,Census Tract 143; Bronx County; New York,36,5,14300,743,12367.0,597,98,80.34993270524899,13.189771197846568,3.8,743
36005014400,Census Tract 144; Bronx County; New York,36,5,14400,2428,30288.0,2177,158,89.66227347611203,6.507413509060955,3.2,2428
36005014500,Census Tract 145; Bronx County; New York,36,5,14500,2433,28104.0,1595,725,65.55692560624743,29.79860254829429,5.9,2433
36005014701,Census Tract 147.01; Bronx County; New York,36,5,14701,2009,35277.0,1729,160,86.06271777003485,7.964161274265804,1.0,2009
36005014702,Census Tract 147.02; Bronx County; New York,36,5,14702,1924,23825.0,1634,190,84.92723492723493,9.875259875259875,1.0,1924
36005014900,Census Tract 149; Bronx County; New York,36,5,14900,1546,35982.0,1179,276,76.26131953428201,17.852522639068564,0.8,1546
36005015100,Census Tract 151; Bronx County; New York,36,5,15100,2117,31298.0,1757,299,82.99480396787906,14.123760037789324,3.7,2117
